,STATE,CITY
1997,tn,memphis
1998,ga,
1999,nv,las vegas
2003,ma,
2004,fl,
2005,az,phoenix
2007,ca,los angeles
2008,tx,
2009,ca,los angeles
2011,ga,
2012,fl,
2013,il,chicago
2014,fl,
2015,il,
2016,ca,
2022,fl,jacksonville
2027,nm,
2029,ca,san francisco
2031,ny,new york
2032,il,chicago
2036,ca,los angeles
2042,ca,
2050,ca,
2052,wa,seattle
2055,ca,
2062,ca,
2063,ca,
2064,ca,
2067,ca,san diego
2069,fl,
2073,tx,houston
2074,nv,las vegas
2075,nv,las vegas
2076,nv,las vegas
2078,nv,las vegas
2079,nv,las vegas
2080,nv,las vegas
2081,nv,las vegas
2083,mi,
2084,nm,
2085,il,chicago
2087,ca,los angeles
2089,la,los angeles
2090,wi,
2092,ia,
2093,ca,los angeles
2094,oh,columbus
2098,wa,washington
2103,ok,
2119,mo,
2120,il,chicago
2121,ny,
2126,dc,washington
2128,nj,
2133,wi,
2134,wi,
2137,ca,
2139,nm,
2142,tx,
2143,ca,san francisco
2149,tx,austin
2153,wi,
2158,ny,new york
2167,ca,san francisco
2168,wi,
2170,wi,
2173,ca,
2174,ca,
2175,ca,
2176,ca,
2177,ca,
2179,tx,
2180,fl,
2184,fl,
2186,ma,boston
2189,ca,
2191,oh,
2197,az,
2198,ca,
2204,oh,
2207,oh,
2208,il,chicago
2210,ca,san diego
2214,tx,dallas
2215,oh,
2216,oh,
2218,ny,new york
2221,ca,
2227,ca,los angeles
2229,ny,new york
2232,dc,washington
2237,ca,
2239,al,
2245,ca,
2250,wi,
2252,al,
2256,ca,
2258,pa,philadelphia
2260,az,
2262,dc,washington
2267,wi,
2268,ny,new york
2269,ca,san diego
2274,ca,san francisco
2276,vt,
2277,ma,
2287,ca,san francisco
2289,oh,
2298,fl,
2303,fl,
2305,fl,
2308,az,phoenix
2310,dc,washington
2317,mn,
2318,ca,
2320,ca,
2323,ma,
2329,ca,
2333,ca,san diego
2335,ca,los angeles
2336,tx,austin
2341,ky,
2343,tx,austin
2344,ca,los angeles
2351,la,los angeles
2364,ca,
2365,ca,san francisco
2369,az,
2370,or,portland
2373,ca,san francisco
2374,il,chicago
2376,dc,washington
2377,ca,san francisco
2378,ny,new york
2384,ca,
2393,tx,austin
2405,mi,
2406,tx,dallas
2414,ny,new york
2419,ca,
2425,ma,
2426,ut,
2433,ca,los angeles
2437,tx,
2438,ma,
2441,ga,
2445,ca,
2447,oh,
2448,wy,
2451,tx,
2454,ma,
2455,fl,
2466,tx,austin
2469,ny,new york
2470,ny,new york
2472,pa,philadelphia
2481,ny,new york
2483,ca,san diego
2484,oh,columbus
2487,oh,
2495,oh,
2506,nc,
2507,co,
2508,ca,
2511,il,chicago
2514,al,
2519,dc,washington
2528,ny,new york
2534,ks,
2536,tx,
2538,ca,
2539,az,phoenix
2547,ca,
2548,ca,
2549,ca,
2550,ca,
2551,ca,
2560,nj,
2563,az,
2568,tx,austin
2573,nm,
2580,il,chicago
2581,ga,
2582,ma,boston
2585,ca,
2586,ca,
2587,tx,dallas
2588,dc,washington
2589,ny,new york
2601,il,chicago
2606,tx,
2607,ca,los angeles
2611,ca,san francisco
2612,ny,
2614,ny,new york
2617,il,chicago
2620,ca,
2624,ca,
2627,tx,dallas
2629,va,
