,STATE,CITY
2501,ca,los angeles
2503,ca,los angeles
2508,ca,los angeles
2509,ca,
2510,ca,
2511,ca,
2512,ca,
2513,ca,
2519,ca,los angeles
2521,ga,
2523,mi,detroit
2524,fl,
2525,ny,new york
2526,md,baltimore
2528,wa,washington
2529,ga,
2532,ca,san francisco
2533,ca,los angeles
2536,fl,
2541,nc,
2545,wa,seattle
2548,tx,houston
2553,wa,seattle
2554,ca,
2560,ca,san francisco
2562,mi,detroit
2566,ny,new york
2569,ca,san francisco
2570,il,chicago
2571,ca,los angeles
2572,ca,san francisco
2574,ca,
2575,ca,san francisco
2577,ca,san diego
2579,pa,
2593,pa,
2599,ca,los angeles
2601,ca,los angeles
2602,md,
2604,ca,
2605,ca,san diego
2607,ma,boston
2623,il,chicago
2626,ok,
2631,nv,las vegas
2634,co,
2636,wa,washington
2640,ca,san diego
2641,ca,san jose
2651,al,
2653,ca,los angeles
2660,wi,
2668,ca,san francisco
2675,ca,
2676,fl,
2681,wa,
2683,ca,los angeles
2684,co,
2691,wa,seattle
2693,ca,san francisco
2697,tx,houston
2698,nv,las vegas
2706,ca,san diego
2724,ga,
2727,co,
2746,ca,san francisco
2747,ca,
2755,il,chicago
2763,il,chicago
2764,il,chicago
2775,ut,
2785,wa,washington
2786,fl,
2787,tx,austin
2789,ny,new york
2790,co,denver
2791,il,chicago
2807,ny,new york
2808,fl,
2819,ca,los angeles
2836,ca,los angeles
2842,va,
2846,nv,las vegas
2848,nv,las vegas
2849,nv,las vegas
2850,nv,las vegas
2851,nv,las vegas
2852,nv,las vegas
2853,nv,las vegas
2856,nv,las vegas
2862,hi,los angeles
2864,il,chicago
2866,ca,san francisco
2867,ca,
2868,ca,
2869,ca,
2870,ca,
2871,ca,
2872,il,chicago
2873,il,chicago
2875,ny,new york
2880,il,chicago
2886,wa,seattle
2888,il,chicago
2889,ca,
2890,ca,
2892,fl,
2894,il,chicago
2897,co,
2902,ny,
2904,il,chicago
2905,il,chicago
2906,il,chicago
2911,ny,new york
2912,ny,new york
2913,ga,
2914,ga,
2915,az,
2928,ok,
2932,ca,san francisco
2933,il,
2934,tx,houston
2945,ca,los angeles
2956,ca,los angeles
2960,al,
2965,or,
2984,il,chicago
2987,co,
2996,mi,
2998,ca,los angeles
2999,ga,
3007,il,chicago
